amplitude_id,user_id,city,device,os,platform,region,gp:BCS,gp:Birthday,gp:Delinquency amount,gp:Nip Verify,gp:Number of Revolving credits,gp:Number of no revolving credits,gp:Total Credit Line,gp:Total current debt,gp:utm_source
4.11408E+11,,Reynosa,Android,Chrome Mobile 102,Web,Tamaulipas,,,,,,,,,adwords
4.11609E+11,83a19c9c-6122-4fc2-ae05-b99d6a33a4be,Naucalpan,Android,Chrome Mobile 102,Web,México,657,1991-12-11,0,VERDADERO,0,0,,0,adwords
4.12461E+11,,Tuxtla Gutiérrez,Android,Chrome Mobile 102,Web,Chiapas,,,,,,,,,adwords
4.09056E+11,75f7d42d-19f2-40f2-8dde-fb1715563eb6,Zamora,Android,Chrome Mobile 102,Web,Michoacán,541,1996-01-04,15362,VERDADERO,0,1,,0,adwords
3.96018E+11,32817846-31d7-4875-a2e2-7526274b4219,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords
4.11446E+11,aee1b964-238a-4740-8a85-14f0c6eac00b,,Android,Chrome Mobile 96,Web,Nuevo León,668,1996-09-17,22310,VERDADERO,0,0,,0,adwords
4.11839E+11,,Guadalajara,Android,Chrome Mobile 94,Web,Jalisco,,,,,,,,,adwords
3.89389E+11,074994dd-3462-4b9f-a89e-676c248a0473,Puebla,Android,Chrome Mobile 102,Web,Mexico City,655,1992-07-02,0,VERDADERO,2,0,6300,2432,rocket
1.96545E+11,f2c8a989-ffa8-4460-a9b2-407d66cc0c3c,Piedras Negras,Windows,Chrome 102,Web,Coahuila,604,,,VERDADERO,,,,,
2.69448E+11,ec61dc18-d894-4156-925e-87c3411fe2e9,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,585,1995-03-02,0,VERDADERO,3,0,7900,5227,email_ongoing
4.12024E+11,,,Android,Chrome Mobile 91,Web,,,,,,,,,,adwords
4.11753E+11,,General Escobedo,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,adwords
4.1131E+11,,Gustavo Adolfo Madero,Android,Chrome Mobile 101,Web,Mexico City,,,,,,,,,
4.11946E+11,,Puebla City,Android,Chrome Mobile 102,Web,Puebla,,,,,,,,,adwords
4.11997E+11,,Parral,Android,Chrome Mobile 102,Web,Chihuahua,,,,,,,,,adwords
4.08292E+11,,San Miguel de Allende,Apple iPhone,Mobile Safari 14,Web,Guanajuato,,,,,,,,,adwords
4.12027E+11,2ae105bc-1b01-40d0-bd0f-1ade16d11db4,Apodaca,Android,Chrome Mobile 102,Web,Nuevo León,,1972-01-28,,,,,,,adwords
4.11368E+11,dc987aa6-e69d-4632-9fab-db37c7f5113b,Mérida,Android,Chrome Mobile 102,Web,Yucatán,9,2001-06-07,,VERDADERO,,,,,adwords
3.95767E+11,829a4893-037c-404c-a356-4480d42b3612,Culiacán,Android,Chrome Mobile 102,Web,Sinaloa,,1997-08-15,,,,,,,rocket
4.12427E+11,,Tuxtla Gutiérrez,Apple iPhone,GSA 213,Web,Chiapas,,,,,,,,,adwords
3.86315E+11,,Boca del Rio,Android,Chrome Mobile 102,Web,Veracruz,,,,,,,,,rocket
3.90472E+11,ca9eb870-bf8d-4f72-aad6-76c905a0bd0e,Iztapalapa,Android,Samsung Browser 17,Web,Mexico City,584,1976-11-11,4421,VERDADERO,0,2,,141283,adwords
4.12823E+11,,Guadalajara,Windows,Chrome 102,Web,Jalisco,,,,,,,,,
4.11558E+11,080051ed-2b2c-4fcd-ae41-c4d776c8940a,Querétaro City,Android,Chrome Mobile 102,Web,Querétaro,645,1993-09-14,151,VERDADERO,0,1,,613,adwords
4.12702E+11,,Querétaro City,Windows,Chrome 102,Web,Querétaro,,,,,,,,,adwords
4.12967E+11,,Tijuana,Android,Chrome Mobile 102,Web,Baja California,,,,,,,,,adwords
4.11515E+11,,Puebla City,Android,Chrome Mobile 102,Web,Puebla,,,,,,,,,adwords
4.12381E+11,3be62708-b792-412a-86e4-79990c8c2712,Xalapa,Android,Chrome Mobile 102,Web,Veracruz,,,,,,,,,adwords
4.12601E+11,,Venustiano Carranza,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,
4.12154E+11,38cdbef7-7fc0-499f-b9b6-1d2a561b4694,Tijuana,Android,Chrome Mobile 102,Web,Baja California,592,1997-09-14,2700,VERDADERO,0,1,,0,adwords
4.12259E+11,,Mexico City,Android,Chrome Mobile 86,Web,Mexico City,,,,,,,,,adwords
4.12088E+11,,Puebla,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,
4.12913E+11,,Aguascalientes,Android,Chrome Mobile 102,Web,Aguascalientes,,,,,,,,,adwords
4.12375E+11,,Puebla City,Android,Chrome Mobile 101,Web,Puebla,,,,,,,,,
4.12943E+11,,Xalapa,Android,Chrome Mobile 102,Web,Veracruz,,,,,,,,,adwords
4.11987E+11,,Hermosillo,Android,Chrome Mobile 102,Web,Sonora,,,,,,,,,rocket
4.12933E+11,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords
4.115E+11,44c88bea-f02e-4351-b102-1da6d2fef7b3,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,550,1987-04-08,493792,VERDADERO,2,1,14000,-150520,adwords
4.11929E+11,41ba2f2e-6809-4613-bdab-e8d1f68ce298,Zapopan,Android,Chrome Mobile 102,Web,Jalisco,,,,,,,,,adwords
2.78099E+11,4cb472a1-0d80-4055-9aac-041969d5c43d,Monterrey,Android,Chrome Mobile 101,Web,Nuevo León,9,1995-05-01,,VERDADERO,,,,,adwords
4.1236E+11,,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,,,,,,,,
4.11902E+11,94817c51-b1ee-4a90-baa4-61fbfbbf0e5f,Venustiano Carranza,Windows,Edge 98,Web,Mexico City,699,1999-11-17,0,VERDADERO,1,0,2000,0,adwords
4.12838E+11,,Monterrey,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,rocket
3.85514E+11,6b52d08d-acc1-4ec8-8723-2453eceb3e67,Zapotlan el Grande,Android,Chrome Mobile 102,Web,Jalisco,602,2000-04-10,277,VERDADERO,1,1,21672,8993,adwords
4.12302E+11,ae8dd0e2-d974-4a7a-a66e-99109bc04511,San Luis Potosí City,Android,Chrome Mobile 102,Web,San Luis Potosí,589,1982-09-12,48442,VERDADERO,1,2,18700,18136,adwords
4.12392E+11,,Rioverde,Android,Chrome Mobile 102,Web,San Luis Potosí,,,,,,,,,adwords
4.12356E+11,7d12d6b2-3e34-46e7-8386-f077a3f2c4ef,Puebla City,Apple iPhone,Mobile Safari 15,Web,Puebla,660,1996-09-01,0,VERDADERO,7,0,42900,18067,adwords
4.11216E+11,53e08ced-741a-4cbe-8dc8-3c78f67bd817,Tampico,Windows,Chrome 102,Web,Tamaulipas,,,,,,,,,adwords
4.12019E+11,248bd8a7-bd78-426e-98f0-4bc5d1449735,Naucalpan,Windows,Chrome 102,Web,México,601,1992-02-05,159415,VERDADERO,0,1,,1128,adwords
4.12635E+11,c3930a1c-c1cf-4f90-bae0-9ad80f2e8a6b,Aguascalientes,Chromium OS,Chrome 69,Web,Aguascalientes,,1998-10-04,,,,,,,adwords
4.12803E+11,f705cb6b-a475-46f0-a2e0-b9f090f571ed,Monclova,Android,Chrome Mobile 102,Web,Coahuila,,,,,,,,,
1.88393E+11,83716b20-eede-4fc1-b435-7aa7a40ed83b,Lerma de Villada,Windows,Chrome 102,Web,México,556,,10983,VERDADERO,0,1,,0,notifications
4.12028E+11,,Tizayuca,Android,Chrome Mobile 102,Web,Hidalgo,,,,,,,,,adwords
4.12812E+11,312c10ce-8885-480c-8256-e8709078f88f,Xalapa,Windows,Chrome 102,Web,Veracruz,,,,,,,,,adwords
4.12553E+11,,,Android,Chrome Mobile 79,Web,Veracruz,,,,,,,,,adwords
4.11882E+11,,Jiutepec,Android,Chrome Mobile 102,Web,Morelos,,,,,,,,,
4.12426E+11,,Saltillo,Apple iPhone,GSA 213,Web,Coahuila,,,,,,,,,adwords
4.11788E+11,,Iztapalapa,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords
3.93777E+11,,Mexico City,Android,Chrome Mobile 101,Web,Mexico City,,,,,,,,,rocket
4.12045E+11,,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,,,,,,,,,adwords
4.128E+11,9d759a18-8d2e-4f99-a90b-0b11d74da7f3,Naucalpan,Android,Chrome Mobile 102,Web,México,599,1977-08-08,25768,VERDADERO,1,1,6400,1851,
4.11579E+11,f902007c-7530-4106-9170-e3a336823bc6,Iztapalapa,Android,Chrome Mobile 102,Web,Mexico City,645,1991-01-08,0,VERDADERO,,,7500,19199,
2.94111E+11,f4d904c6-bb9c-4973-bca7-340bc5436c23,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,604,1997-12-20,,VERDADERO,,,,,adwords
4.11877E+11,a87d01ac-23c2-4fa3-9b55-1507147d0b06,Puebla,Android,Chrome Mobile 102,Web,Mexico City,586,1987-09-19,26594,VERDADERO,4,4,35800,266052,
4.114E+11,,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,rocket
4.11456E+11,,Celaya,Android,Chrome Mobile 102,Web,Guanajuato,,,,,,,,,adwords
3.44757E+11,d93a5741-992b-4239-8457-672fd7126021,Ciudad Juárez,Android,Chrome Mobile 102,Web,Chihuahua,549,1995-03-12,8629,VERDADERO,1,1,1395,0,adwords
4.12376E+11,,Ciudad Obregón,Android,Chrome Mobile 102,Web,Sonora,,,,,,,,,
4.12467E+11,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,rocket
4.11933E+11,34bb3cb8-50fd-4c96-85e1-a753958c3f6a,Cunduacan,Android,Chrome Mobile 102,Web,Tabasco,,,,,,,,,
4.12613E+11,,Muscat,Android,Samsung Browser 16,Web,Muscat,,,,,,,,,google2
4.12571E+11,,Ixtapaluca,Android,Chrome Mobile 102,Web,México,,,,,,,,,google2
4.08287E+11,43756190-2b25-4ac8-86ee-27ac6a6053dd,Mexico City,Android,Chrome Mobile 101,Web,Mexico City,599,1996-03-23,9241,VERDADERO,0,1,,0,google2
4.12924E+11,a07e7ed2-0006-451f-910a-e24fe295a550,Villahermosa,Android,Chrome Mobile 102,Web,Tabasco,670,2001-07-29,0,VERDADERO,1,0,2700,625,adwords
4.12433E+11,,Tijuana,Android,Chrome Mobile 101,Web,Baja California,,,,,,,,,adwords
4.1235E+11,,San Luis Potosí City,Android,Chrome Mobile 102,Web,San Luis Potosí,,,,,,,,,adwords
4.1275E+11,,Teotihuacan,Android,Chrome Mobile 102,Web,México,,,,,,,,,adwords
4.12937E+11,,,KAIOS,Firefox 48,Web,Nuevo León,,,,,,,,,
4.1167E+11,ebe0754d-4d43-4626-8ed0-fe4c248666ac,Ciudad Lopez Mateos,Android,Chrome Mobile 102,Web,México,529,1970-05-29,60519,VERDADERO,0,2,,0,
4.12386E+11,,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords
4.12506E+11,,San Luis Potosí City,Android,Chrome Mobile 102,Web,San Luis Potosí,,,,,,,,,
4.1207E+11,bcb02a21-b971-4547-a12f-63e0c9cd9487,Alvaro Obregon,Android,Chrome Mobile 102,Web,Mexico City,661,1987-01-16,16866,VERDADERO,0,1,,6134,adwords
4.12233E+11,,,Android,Chrome Mobile 100,Web,Nuevo León,,,,,,,,,adwords
