amplitude_id,user_id,city,device,os,platform,region,gp:BCS,Birthday,gp:Delinquency amount,gp:Nip Verify,gp:Number of Revolving credits,gp:Number of no revolving credits,gp:Total Credit Line,gp:Total current debt,gp:utm_source,Age
411408000000.0,,Reynosa,Android,Chrome Mobile 102,Web,Tamaulipas,,,,,,,,,adwords,
411609000000.0,83a19c9c-6122-4fc2-ae05-b99d6a33a4be,Naucalpan,Android,Chrome Mobile 102,Web,México,657.0,1991-12-11,0.0,VERDADERO,0.0,0.0,,0.0,adwords,32.0
412461000000.0,,Tuxtla Gutiérrez,Android,Chrome Mobile 102,Web,Chiapas,,,,,,,,,adwords,
409056000000.0,75f7d42d-19f2-40f2-8dde-fb1715563eb6,Zamora,Android,Chrome Mobile 102,Web,Michoacán,541.0,1996-01-04,15362.0,VERDADERO,0.0,1.0,,0.0,adwords,27.0
396018000000.0,32817846-31d7-4875-a2e2-7526274b4219,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,adwords,
411446000000.0,aee1b964-238a-4740-8a85-14f0c6eac00b,,Android,Chrome Mobile 96,Web,Nuevo León,668.0,1996-09-17,22310.0,VERDADERO,0.0,0.0,,0.0,adwords,27.0
411839000000.0,,Guadalajara,Android,Chrome Mobile 94,Web,Jalisco,,,,,,,,,adwords,
389389000000.0,074994dd-3462-4b9f-a89e-676c248a0473,Puebla,Android,Chrome Mobile 102,Web,Mexico City,655.0,1992-07-02,0.0,VERDADERO,2.0,0.0,6300.0,2432.0,rocket,31.0
196545000000.0,f2c8a989-ffa8-4460-a9b2-407d66cc0c3c,Piedras Negras,Windows,Chrome 102,Web,Coahuila,604.0,,,VERDADERO,,,,,,
269448000000.0,ec61dc18-d894-4156-925e-87c3411fe2e9,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,585.0,1995-03-02,0.0,VERDADERO,3.0,0.0,7900.0,5227.0,email_ongoing,28.0
412024000000.0,,,Android,Chrome Mobile 91,Web,,,,,,,,,,adwords,
411753000000.0,,General Escobedo,Android,Chrome Mobile 102,Web,Nuevo León,,,,,,,,,adwords,
411310000000.0,,Gustavo Adolfo Madero,Android,Chrome Mobile 101,Web,Mexico City,,,,,,,,,,
411946000000.0,,Puebla City,Android,Chrome Mobile 102,Web,Puebla,,,,,,,,,adwords,
411997000000.0,,Parral,Android,Chrome Mobile 102,Web,Chihuahua,,,,,,,,,adwords,
408292000000.0,,San Miguel de Allende,Apple iPhone,Mobile Safari 14,Web,Guanajuato,,,,,,,,,adwords,
412027000000.0,2ae105bc-1b01-40d0-bd0f-1ade16d11db4,Apodaca,Android,Chrome Mobile 102,Web,Nuevo León,,1972-01-28,,,,,,,adwords,51.0
411368000000.0,dc987aa6-e69d-4632-9fab-db37c7f5113b,Mérida,Android,Chrome Mobile 102,Web,Yucatán,9.0,2001-06-07,,VERDADERO,,,,,adwords,22.0
395767000000.0,829a4893-037c-404c-a356-4480d42b3612,Culiacán,Android,Chrome Mobile 102,Web,Sinaloa,,1997-08-15,,,,,,,rocket,26.0
412427000000.0,,Tuxtla Gutiérrez,Apple iPhone,GSA 213,Web,Chiapas,,,,,,,,,adwords,
386315000000.0,,Boca del Rio,Android,Chrome Mobile 102,Web,Veracruz,,,,,,,,,rocket,
390472000000.0,ca9eb870-bf8d-4f72-aad6-76c905a0bd0e,Iztapalapa,Android,Samsung Browser 17,Web,Mexico City,584.0,1976-11-11,4421.0,VERDADERO,0.0,2.0,,141283.0,adwords,47.0
412823000000.0,,Guadalajara,Windows,Chrome 102,Web,Jalisco,,,,,,,,,,
411558000000.0,080051ed-2b2c-4fcd-ae41-c4d776c8940a,Querétaro City,Android,Chrome Mobile 102,Web,Querétaro,645.0,1993-09-14,151.0,VERDADERO,0.0,1.0,,613.0,adwords,30.0
412702000000.0,,Querétaro City,Windows,Chrome 102,Web,Querétaro,,,,,,,,,adwords,
412967000000.0,,Tijuana,Android,Chrome Mobile 102,Web,Baja California,,,,,,,,,adwords,
411515000000.0,,Puebla City,Android,Chrome Mobile 102,Web,Puebla,,,,,,,,,adwords,
412381000000.0,3be62708-b792-412a-86e4-79990c8c2712,Xalapa,Android,Chrome Mobile 102,Web,Veracruz,,,,,,,,,adwords,
412601000000.0,,Venustiano Carranza,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,,
412154000000.0,38cdbef7-7fc0-499f-b9b6-1d2a561b4694,Tijuana,Android,Chrome Mobile 102,Web,Baja California,592.0,1997-09-14,2700.0,VERDADERO,0.0,1.0,,0.0,adwords,26.0
412259000000.0,,Mexico City,Android,Chrome Mobile 86,Web,Mexico City,,,,,,,,,adwords,
412088000000.0,,Puebla,Android,Chrome Mobile 102,Web,Mexico City,,,,,,,,,,
