city,device,os,region,source
Reynosa,Android,Chrome Mobile 102,Tamaulipas,adwords
Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords
Guadalajara,Android,Chrome Mobile 94,Jalisco,adwords
General Escobedo,Android,Chrome Mobile 102,Nuevo León,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 101,Mexico City,Sin info
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Parral,Android,Chrome Mobile 102,Chihuahua,adwords
San Miguel de Allende,Apple iPhone,Mobile Safari 14,Guanajuato,adwords
Tuxtla Gutiérrez,Apple iPhone,GSA 213,Chiapas,adwords
Boca del Rio,Android,Chrome Mobile 102,Veracruz,rocket
Guadalajara,Windows,Chrome 102,Jalisco,Sin info
Querétaro City,Windows,Chrome 102,Querétaro,adwords
Tijuana,Android,Chrome Mobile 102,Baja California,adwords
Puebla City,Android,Chrome Mobile 102,Puebla,adwords
Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,Sin info
Mexico City,Android,Chrome Mobile 86,Mexico City,adwords
Puebla,Android,Chrome Mobile 102,Mexico City,Sin info
Aguascalientes,Android,Chrome Mobile 102,Aguascalientes,adwords
Puebla City,Android,Chrome Mobile 101,Puebla,Sin info
Xalapa,Android,Chrome Mobile 102,Veracruz,adwords
Hermosillo,Android,Chrome Mobile 102,Sonora,rocket
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Monterrey,Android,Chrome Mobile 102,Nuevo León,rocket
Rioverde,Android,Chrome Mobile 102,San Luis Potosí,adwords
Tizayuca,Android,Chrome Mobile 102,Hidalgo,adwords
Sin info,Android,Chrome Mobile 79,Veracruz,adwords
Jiutepec,Android,Chrome Mobile 102,Morelos,Sin info
Saltillo,Apple iPhone,GSA 213,Coahuila,adwords
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Android,Chrome Mobile 101,Mexico City,rocket
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,rocket
Celaya,Android,Chrome Mobile 102,Guanajuato,adwords
Ciudad Obregón,Android,Chrome Mobile 102,Sonora,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,rocket
Muscat,Android,Samsung Browser 16,Muscat,google2
Ixtapaluca,Android,Chrome Mobile 102,México,google2
Tijuana,Android,Chrome Mobile 101,Baja California,adwords
San Luis Potosí City,Android,Chrome Mobile 102,San Luis Potosí,adwords
Teotihuacan,Android,Chrome Mobile 102,México,adwords
Sin info,KAIOS,Firefox 48,Nuevo León,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
San Luis Potosí City,Android,Chrome Mobile 102,San Luis Potosí,Sin info
Sin info,Android,Chrome Mobile 100,Nuevo León,adwords
Mexico City,Android,Chrome Mobile 88,Mexico City,Sin info
Sin info,Android,Chrome Mobile 102,Nuevo León,adwords
Mexico City,Windows,Chrome 99,Mexico City,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,Sin info
Tlalnepantla,Android,Chrome Mobile 102,México,adwords
Cancún,Android,Chrome Mobile 102,Quintana Roo,adwords
Puebla,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,Sin info
Acapulco de Juárez,Android,Chrome Mobile 102,Guerrero,google2
Zapopan,Android,Chrome Mobile 102,Jalisco,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Cuautitlán Izcalli,Android,Chrome Mobile 102,México,adwords
Nuevo Laredo,Android,Chrome Mobile 102,Tamaulipas,adwords
Querétaro City,Android,Chrome Mobile 90,Querétaro,adwords
Tlahuelilpan,Android,Chrome Mobile 102,Hidalgo,Sin info
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Coatzacoalcos,Windows,Chrome 102,Veracruz,adwords
Monterrey,Windows,Edge 16,Nuevo León,Sin info
Juarez,Android,Chrome Mobile 101,Quintana Roo,adwords
Zapopan,Android,Chrome Mobile 102,Jalisco,adwords
Guadalupe Trujillo,Android,Chrome Mobile 101,Zacatecas,google2
Oaxaca City,Android,Chrome Mobile 102,Oaxaca,adwords
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
Ecatepec,Android,Chrome Mobile 102,México,adwords
Ahome,Android,Chrome Mobile 95,Sinaloa,adwords
Zacatepec,Android,Chrome 92,Morelos,adwords
Tlaquepaque,Android,Chrome Mobile 94,Jalisco,Sin info
Seattle,Windows,Chrome 86,Washington,Sin info
Culiacán,Android,Chrome Mobile 102,Sinaloa,rocket
Mérida,Apple iPhone,GSA 211,Yucatán,adwords
Naucalpan,Android,Chrome Mobile 102,México,adwords
Villahermosa,Android,Chrome Mobile 77,Tabasco,adwords
Oaxaca City,Android,Chrome Mobile 102,Oaxaca,adwords
Tlalnepantla,Windows,Chrome 102,México,adwords
Mexico City,Android,Chrome Mobile 101,Mexico City,adwords
Tula de Allende,Windows,Chrome 102,Hidalgo,adwords
Mexico City,Apple iPhone,GSA 213,Mexico City,adwords
Torreón,Android,Chrome Mobile 102,Coahuila,adwords
Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,adwords
Miguel Hidalgo,Android,Chrome Mobile 100,Mexico City,adwords
Mexico City,Apple iPhone,Chrome Mobile 102,Mexico City,Sin info
Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,adwords
Hermosillo,Android,Chrome Mobile 81,Sonora,Sin info
Chalco,Android,Chrome Mobile 102,México,adwords
Guadalupe,Android,Chrome Mobile 101,Nuevo León,adwords
Tijuana,Android,Chrome Mobile 102,Baja California,adwords
Aguascalientes,Android,Chrome Mobile 102,Aguascalientes,adwords
Guadalupe Trujillo,Android,Chrome Mobile 102,Zacatecas,adwords
Naucalpan,Android,Chrome Mobile 102,México,adwords
Cancún,Android,Chrome 89,Quintana Roo,Sin info
Tuxtla Gutiérrez,Windows,Opera 87,Chiapas,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords
Durango,Android,Chrome Mobile 87,Durango,Sin info
Zamora,Android,Chrome 102,Michoacán,Sin info
Xalapa,Android,Chrome Mobile 102,Veracruz,adwords
Guadalajara,Windows,Chrome 102,Jalisco,adwords
Mexicali,Apple iPhone,Chrome Mobile 102,Baja California,Sin info
Tizayuca,Windows,Chrome 102,Hidalgo,adwords
Torreón,Android,Chrome Mobile 102,Coahuila,rocket
Xalapa,Android,Chrome Mobile 102,Veracruz,Sin info
Cananea,Android,Chrome Mobile 102,Sonora,Sin info
Celaya,Android,Chrome Mobile 102,Guanajuato,Sin info
San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords
Xalapa,Android,Chrome Mobile 96,Veracruz,Sin info
Coatzacoalcos,Android,Chrome Mobile 102,Veracruz,google2
Tlalnepantla,Windows,Chrome 102,México,adwords
Sin info,Android,Chrome Mobile 95,Tabasco,adwords
Huehuetoca,Android,Chrome Mobile 102,México,adwords
Zacatecas City,Android,Samsung Browser 16,Zacatecas,adwords
León,Android,Chrome Mobile 102,Guanajuato,Sin info
Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,Sin info
Ciudad Juárez,Android,Chrome Mobile 101,Chihuahua,adwords
Comalcalco,Android,Chrome Mobile 100,Tabasco,Sin info
Guadalajara,Android,Chrome Mobile 101,Jalisco,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords
Huehuetoca,Android,Chrome Mobile 102,México,adwords
Guadalajara,Apple iPhone,Mobile Safari 15,Jalisco,adwords
Chilpancingo,Windows,Chrome 102,Guerrero,Sin info
Tijuana,Windows,Chrome 102,Baja California,adwords
Cuautla,Android,Chrome Mobile 81,Morelos,adwords
Piedras Negras,Android,Chrome WebView 88,Coahuila,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,adwords
Ciudad de Villa de Alvarez,Android,Chrome Mobile 102,Colima,adwords
Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Cuauhtemoc,Windows,Firefox 101,Mexico City,Sin info
Ciudad Nezahualcoyotl,Windows,Chrome 102,México,adwords
General Escobedo,Android,Chrome Mobile 102,Nuevo León,adwords
Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords
Ecatepec,Android,Chrome Mobile 102,México,adwords
Pachuca,Android,Chrome Mobile 102,Hidalgo,adwords
Xalapa,Android,Chrome Mobile 102,Veracruz,Sin info
San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Puebla City,Windows,Chrome 102,Puebla,adwords
San Antonio,Windows,Chrome 98,Texas,Sin info
Puebla City,Windows,Chrome 102,Puebla,adwords
Ciudad Obregón,Android,Chrome Mobile 102,Sonora,rocket
Hermosillo,Android,Chrome Mobile 87,Sonora,Sin info
Cheyenne,Windows,Chrome 80,Wyoming,Sin info
Monclova,Android,Chrome Mobile 102,Coahuila,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Toluca,Android,Chrome Mobile 102,México,adwords
Chicoloapan,Android,Chrome Mobile 102,México,adwords
Ecatepec,Android,Chrome Mobile 102,México,adwords
Torreón,Windows,Chrome 101,Coahuila,Sin info
Guadalajara,Android,Chrome Mobile 101,Jalisco,adwords
Toronto,Windows,Chrome 98,Ontario,Sin info
Oaxaca City,Windows,Chrome 102,Oaxaca,rocket
Des Moines,Windows,Chrome 80,Iowa,Sin info
Gustavo Adolfo Madero,Windows,Chrome 89,Mexico City,Sin info
Mexico City,Android,Chrome Mobile 101,Mexico City,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,adwords
Sin info,Android,Chrome Mobile 101,Jalisco,google2
Puebla City,Android,Chrome Mobile 102,Puebla,google2
Windsor,Android,Chrome Mobile 102,California,adwords
Sin info,Apple iPhone,Mobile Safari 15,Nuevo León,adwords
Tuxtla Gutiérrez,Android,Samsung Browser 17,Chiapas,adwords
Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords
Chalco,Android,Chrome Mobile 102,México,adwords
Nuevo Laredo,Android,Chrome Mobile 102,Tamaulipas,Sin info
Culiacán,Android,Chrome Mobile 102,Sinaloa,adwords
Celaya,Android,Chrome 92,Guanajuato,adwords
Manzanillo,Android,Chrome Mobile 102,Colima,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
San Nicolás de los Garza,Android,Chrome Mobile 102,Nuevo León,adwords
Hermosillo,Android,Chrome Mobile 86,Sonora,adwords
Ciudad Juárez,Android,Chrome Mobile 102,Chihuahua,Sin info
Iztacalco,Android,Chrome Mobile 102,Mexico City,adwords
Playa del Carmen,Android,Chrome Mobile 102,Quintana Roo,adwords
Ciudad Nezahualcoyotl,Windows,Chrome 96,México,adwords
Tapachula,Android,Chrome Mobile 102,Chiapas,adwords
Tacubaya,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,rocket
Puebla City,Android,Chrome Mobile 95,Puebla,adwords
Gustavo Adolfo Madero,Apple iPhone,Mobile Safari 14,Mexico City,Sin info
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Apodaca,Android,Chrome Mobile 102,Nuevo León,adwords
San Luis Potosí City,Android,Chrome Mobile 101,San Luis Potosí,Sin info
Veracruz,Android,Chrome Mobile 102,Veracruz,adwords
Monclova,Android,Chrome WebView 88,Coahuila,rocket
Naucalpan,Android,Chrome Mobile 102,México,adwords
Torreón,Android,Chrome Mobile 101,Coahuila,adwords
Chalco,Android,Chrome Mobile 102,México,Sin info
Sin info,Android,Chrome Mobile 102,Jalisco,adwords
Chihuahua City,Android,Chrome Mobile 102,Chihuahua,rocket
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Villahermosa,Android,Facebook 369,Tabasco,google2
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Guadalupe,Android,Chrome Mobile 102,Nuevo León,rocket
Lagos de Moreno,Android,Chrome Mobile 102,Jalisco,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,rocket
Monterrey,Android,Chrome Mobile 81,Nuevo León,adwords
Toluca,Apple iPhone,GSA 213,México,Sin info
Sin info,Android,Chrome Mobile 102,Nuevo León,adwords
Culiacán,Android,Chrome Mobile 102,Sinaloa,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Chiautla,Android,Chrome Mobile 102,México,Sin info
Monterrey,Android,Chrome Mobile 102,Nuevo León,adwords
Ocotlan,Android,Chrome Mobile 102,Jalisco,adwords
Ciudad Acuña,Android,Chrome Mobile 102,Coahuila,adwords
Ecatepec,Android,Chrome Mobile 102,México,adwords
Monterrey,Windows,Edge 102,Nuevo León,adwords
Tuxtla Gutiérrez,Android,Samsung Browser 11,Chiapas,rocket
Iztacalco,Android,Chrome Mobile 98,Mexico City,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,adwords
Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords
Alvaro Obregon,Android,Chrome Mobile 97,Mexico City,adwords
Gustavo Adolfo Madero,Windows,Chrome 102,Mexico City,adwords
Puebla,Android,Chrome Mobile 102,Mexico City,rocket
Morelia,Windows,Chrome 102,Michoacán,Sin info
Cuernavaca,Android,Chrome Mobile 102,Morelos,google2
Mexico City,Windows,Chrome 102,Mexico City,adwords
Nuevo Ideal,Android,Chrome Mobile 102,Durango,adwords
Sin info,Android,Chrome Mobile 102,Veracruz,adwords
Santa Ana Nextlalpan,Android,Chrome Mobile 102,México,adwords
Ecatepec,Android,Chrome Mobile 91,México,adwords
Guadalajara,Apple iPhone,Mobile Safari 15,Jalisco,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,Sin info
Naucalpan,Windows,Chrome 102,México,adwords
Ciudad Juárez,Apple iPhone,Mobile Safari 15,Chihuahua,adwords
Córdoba,Android,Chrome Mobile 102,Veracruz,Sin info
Coyoacán,Android,Samsung Browser 16,Mexico City,rocket
Cuernavaca,Apple iPhone,Mobile Safari 13,Morelos,adwords
Phoenix,Windows,Chrome 96,Arizona,Sin info
Guerrero,Android,Chrome Mobile 101,Mexico City,adwords
Tlalpan,Mac,Safari 13,Mexico City,Sin info
