user_id,city,device,os,region,gp:utm_source,Survivor,Cluster
sin información,Reynosa,Android,Chrome Mobile 102,Tamaulipas,adwords,0,1
sin información,Tuxtla Gutiérrez,Android,Chrome Mobile 102,Chiapas,adwords,0,1
32817846-31d7-4875-a2e2-7526274b4219,Mexico City,Android,Chrome Mobile 102,Mexico City,adwords,1,2
sin información,Guadalajara,Android,Chrome Mobile 94,Jalisco,adwords,0,1
f2c8a989-ffa8-4460-a9b2-407d66cc0c3c,Piedras Negras,Windows,Chrome 102,Coahuila,sin información,1,3
sin información,General Escobedo,Android,Chrome Mobile 102,Nuevo León,adwords,0,1
sin información,Gustavo Adolfo Madero,Android,Chrome Mobile 101,Mexico City,sin información,0,4
sin información,Puebla City,Android,Chrome Mobile 102,Puebla,adwords,0,1
sin información,Parral,Android,Chrome Mobile 102,Chihuahua,adwords,0,1
sin información,San Miguel de Allende,Apple iPhone,Mobile Safari 14,Guanajuato,adwords,0,0
sin información,Tuxtla Gutiérrez,Apple iPhone,GSA 213,Chiapas,adwords,0,0
sin información,Boca del Rio,Android,Chrome Mobile 102,Veracruz,rocket,0,1
sin información,Guadalajara,Windows,Chrome 102,Jalisco,sin información,0,4
sin información,Querétaro City,Windows,Chrome 102,Querétaro,adwords,0,0
sin información,Tijuana,Android,Chrome Mobile 102,Baja California,adwords,0,1
sin información,Puebla City,Android,Chrome Mobile 102,Puebla,adwords,0,1
3be62708-b792-412a-86e4-79990c8c2712,Xalapa,Android,Chrome Mobile 102,Veracruz,adwords,1,3
sin información,Venustiano Carranza,Android,Chrome Mobile 102,Mexico City,sin información,0,4
sin información,Mexico City,Android,Chrome Mobile 86,Mexico City,adwords,0,2
sin información,Puebla,Android,Chrome Mobile 102,Mexico City,sin información,0,4
sin información,Aguascalientes,Android,Chrome Mobile 102,Aguascalientes,adwords,0,1
sin información,Puebla City,Android,Chrome Mobile 101,Puebla,sin información,0,1
sin información,Xalapa,Android,Chrome Mobile 102,Veracruz,adwords,0,1
sin información,Hermosillo,Android,Chrome Mobile 102,Sonora,rocket,0,1
sin información,Mexico City,Android,Chrome Mobile 102,Mexico City,adwords,0,2
41ba2f2e-6809-4613-bdab-e8d1f68ce298,Zapopan,Android,Chrome Mobile 102,Jalisco,adwords,1,3
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,sin información,0,0
sin información,Monterrey,Android,Chrome Mobile 102,Nuevo León,rocket,0,1
sin información,Rioverde,Android,Chrome Mobile 102,San Luis Potosí,adwords,0,1
53e08ced-741a-4cbe-8dc8-3c78f67bd817,Tampico,Windows,Chrome 102,Tamaulipas,adwords,1,3
f705cb6b-a475-46f0-a2e0-b9f090f571ed,Monclova,Android,Chrome Mobile 102,Coahuila,sin información,1,3
83716b20-eede-4fc1-b435-7aa7a40ed83b,Lerma de Villada,Windows,Chrome 102,México,notifications,1,3
sin información,Tizayuca,Android,Chrome Mobile 102,Hidalgo,adwords,0,1
312c10ce-8885-480c-8256-e8709078f88f,Xalapa,Windows,Chrome 102,Veracruz,adwords,1,3
sin información,sin información,Android,Chrome Mobile 79,Veracruz,adwords,0,1
sin información,Jiutepec,Android,Chrome Mobile 102,Morelos,sin información,0,4
sin información,Saltillo,Apple iPhone,GSA 213,Coahuila,adwords,0,0
sin información,Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords,0,2
sin información,Mexico City,Android,Chrome Mobile 101,Mexico City,rocket,0,2
sin información,Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords,0,0
sin información,Gustavo Adolfo Madero,Android,Chrome Mobile 102,Mexico City,rocket,0,2
sin información,Celaya,Android,Chrome Mobile 102,Guanajuato,adwords,0,1
sin información,Ciudad Obregón,Android,Chrome Mobile 102,Sonora,sin información,0,4
