Source,Stage,Count
Autopilot,Enter the Site,3
adwords,Enter the Site,22725
blog,Enter the Site,244
blog_post,Enter the Site,2
coppel,Enter the Site,2
django,Enter the Site,6
email_notifications,Enter the Site,1
email_ongoing,Enter the Site,87
fb,Enter the Site,46
google,Enter the Site,7
google2,Enter the Site,1807
home,Enter the Site,5
notifications,Enter the Site,9
ong,Enter the Site,6
rocket,Enter the Site,2047
rocket_customer,Enter the Site,23
sms_notifications,Enter the Site,2
tiktok,Enter the Site,10
Autopilot,Start the Process,2
adwords,Start the Process,12100
blog,Start the Process,178
blog_post,Start the Process,2
coppel,Start the Process,2
django,Start the Process,6
email_notifications,Start the Process,1
email_ongoing,Start the Process,84
fb,Start the Process,31
google,Start the Process,3
google2,Start the Process,883
home,Start the Process,2
notifications,Start the Process,8
ong,Start the Process,6
rocket,Start the Process,592
rocket_customer,Start the Process,22
sms_notifications,Start the Process,2
tiktok,Start the Process,2
Autopilot,Finish the process,2
adwords,Finish the process,8949
blog,Finish the process,156
blog_post,Finish the process,2
coppel,Finish the process,2
django,Finish the process,6
email_notifications,Finish the process,1
email_ongoing,Finish the process,78
fb,Finish the process,6
google,Finish the process,1
google2,Finish the process,471
home,Finish the process,2
notifications,Finish the process,6
ong,Finish the process,6
rocket,Finish the process,388
rocket_customer,Finish the process,22
sms_notifications,Finish the process,2
tiktok,Finish the process,1
