amplitude_id,user_id,city,device,os,platform,region,gp:BCS,Birthday,gp:Delinquency amount,gp:Nip Verify,gp:Number of Revolving credits,gp:Number of no revolving credits,gp:Total Credit Line,gp:Total current debt,gp:utm_source,Age
389389000000.0,074994dd-3462-4b9f-a89e-676c248a0473,Puebla,Android,Chrome Mobile 102,Web,Mexico City,655.0,1992-07-02,0.0,VERDADERO,2.0,0.0,6300.0,2432.0,rocket,31.0
269448000000.0,ec61dc18-d894-4156-925e-87c3411fe2e9,Guadalajara,Android,Chrome Mobile 102,Web,Jalisco,585.0,1995-03-02,0.0,VERDADERO,3.0,0.0,7900.0,5227.0,email_ongoing,28.0
411902000000.0,94817c51-b1ee-4a90-baa4-61fbfbbf0e5f,Venustiano Carranza,Windows,Edge 98,Web,Mexico City,699.0,1999-11-17,0.0,VERDADERO,1.0,0.0,2000.0,0.0,adwords,24.0
412356000000.0,7d12d6b2-3e34-46e7-8386-f077a3f2c4ef,Puebla City,Apple iPhone,Mobile Safari 15,Web,Puebla,660.0,1996-09-01,0.0,VERDADERO,7.0,0.0,42900.0,18067.0,adwords,27.0
412924000000.0,a07e7ed2-0006-451f-910a-e24fe295a550,Villahermosa,Android,Chrome Mobile 102,Web,Tabasco,670.0,2001-07-29,0.0,VERDADERO,1.0,0.0,2700.0,625.0,adwords,22.0
412366000000.0,d4310d8b-cbb4-417f-86a3-361e824c5926,Lerma de Villada,Android,Chrome Mobile 102,Web,México,637.0,1994-07-21,0.0,VERDADERO,1.0,1.0,10400.0,350946.0,adwords,29.0
412056000000.0,3602cc4f-54f2-4323-9eb2-4ed9a280ea82,Zacatecas City,Android,Chrome Mobile 102,Web,Zacatecas,632.0,1985-10-11,0.0,VERDADERO,1.0,2.0,5500.0,99794.0,,38.0
412354000000.0,f411a371-01cc-4123-9d23-ad32228d4c85,Coatzacoalcos,Android,Chrome Mobile 91,Web,Veracruz,670.0,1983-06-19,0.0,VERDADERO,3.0,0.0,45550.0,17287.0,adwords,40.0
411547000000.0,1420131c-99cd-4657-a0f5-e0406da24613,San Nicolás de los Garza,Android,Chrome 81,Web,Nuevo León,714.0,1977-09-23,0.0,VERDADERO,4.0,1.0,51000.0,29360.0,adwords,46.0
362547000000.0,463dcef3-3719-4d6c-aebd-d0df2668f918,Venustiano Carranza,Android,Chrome Mobile 102,Web,Mexico City,643.0,1997-01-05,0.0,VERDADERO,1.0,0.0,6000.0,3478.0,rocket_customer,26.0
411927000000.0,382f08a0-537a-44b5-a8ca-d011b411edaa,Ciudad Juárez,Android,Chrome 102,Web,Chihuahua,687.0,1966-08-27,0.0,VERDADERO,1.0,0.0,5000.0,2841.0,adwords,57.0
193421000000.0,61407628-d114-4f14-bc30-f0b9a665ae05,León,Windows,Chrome 102,Web,Guanajuato,685.0,1983-08-01,0.0,VERDADERO,1.0,2.0,235000.0,77542.0,blog,40.0
412328000000.0,f1f9c565-9863-40d7-b4eb-e715e86ce355,Mexico City,Android,Chrome Mobile 87,Web,Mexico City,712.0,1989-07-26,0.0,VERDADERO,1.0,0.0,500.0,0.0,,34.0
412419000000.0,961a950a-963a-419f-acdf-bf79c8612544,Mexico City,Apple iPhone,Mobile Safari 15,Web,Mexico City,685.0,1955-03-16,0.0,VERDADERO,3.0,2.0,29632.0,44344.0,adwords,68.0
412787000000.0,9d3be1aa-a919-46cc-81ba-68812fab97cb,Cuautitlán Izcalli,Windows,Chrome 102,Web,México,672.0,1996-08-11,0.0,VERDADERO,1.0,0.0,26000.0,11467.0,adwords,27.0
402236000000.0,66c34d25-ceb0-41fa-bebb-6289a7538e93,Chilpancingo,Android,Chrome Mobile 102,Web,Guerrero,651.0,1994-12-31,0.0,VERDADERO,3.0,1.0,31400.0,45815.0,adwords,29.0
412469000000.0,af352444-f2d6-41ef-a52f-6168a1bc306c,Mexico City,Android,Chrome Mobile 102,Web,Mexico City,692.0,1977-07-16,0.0,VERDADERO,1.0,0.0,57800.0,6907.0,adwords,46.0
