region,os,device,amplitude_id
Aguascalientes,Chrome 100,Windows,1
Aguascalientes,Chrome 101,Windows,2
Aguascalientes,Chrome 102,Windows,23
Aguascalientes,Chrome 69,Chromium OS,1
Aguascalientes,Chrome 92,Android,3
Aguascalientes,Chrome 96,Windows,1
Aguascalientes,Chrome Mobile 100,Android,4
Aguascalientes,Chrome Mobile 101,Android,11
Aguascalientes,Chrome Mobile 102,Android,151
Aguascalientes,Chrome Mobile 102,Apple iPhone,4
Aguascalientes,Chrome Mobile 38,Android,2
Aguascalientes,Chrome Mobile 68,Android,1
Aguascalientes,Chrome Mobile 70,Android,1
Aguascalientes,Chrome Mobile 81,Android,2
Aguascalientes,Chrome Mobile 84,Android,1
Aguascalientes,Chrome Mobile 86,Android,1
Aguascalientes,Chrome Mobile 87,Android,1
Aguascalientes,Chrome Mobile 88,Android,1
Aguascalientes,Chrome Mobile 90,Android,1
Aguascalientes,Chrome Mobile 91,Android,4
Aguascalientes,Chrome Mobile 95,Android,1
Aguascalientes,Chrome Mobile 97,Android,1
Aguascalientes,Chrome Mobile 99,Android,1
Aguascalientes,Chrome WebView 102,Android,1
Aguascalientes,Chrome WebView 70,Android,1
Aguascalientes,Chrome WebView 78,Android,1
Aguascalientes,Chrome WebView 88,Android,1
Aguascalientes,Chrome WebView 99,Android,1
Aguascalientes,Edge 102,Windows,2
Aguascalientes,Facebook 305,Android,1
Aguascalientes,Facebook 362,Android,1
Aguascalientes,Facebook 369,Android,2
Aguascalientes,GSA 215,Apple iPhone,1
Aguascalientes,Mobile Safari 12,Apple iPhone,1
Aguascalientes,Mobile Safari 14,Apple iPhone,1
Aguascalientes,Opera 62,Android,1
Aguascalientes,Opera 69,Android,1
Aguascalientes,Samsung Browser 17,Android,4
Alabama,Chrome Mobile 102,Android,1
Andalusia,Mobile Safari 15,Apple iPhone,1
Andhra Pradesh,Chrome Mobile 90,Android,1
Antioquia,Chrome 101,Mac,1
Antioquia,Chrome 102,Windows,1
Arizona,Chrome 102,Windows,1
Arizona,Chrome 96,Windows,2
Arizona,Chrome Mobile 102,Android,1
Arizona,Chrome Mobile 102,Apple iPhone,1
Arizona,Mobile Safari 15,Apple iPhone,3
Arizona,WebKit 605,Apple iPhone,1
Asuncion,Mobile Safari 15,Apple iPhone,1
Baja California,Chrome 100,Windows,4
Baja California,Chrome 101,Windows,8
Baja California,Chrome 102,Android,4
Baja California,Chrome 102,Linux,2
Baja California,Chrome 102,Windows,70
Baja California,Chrome 92,Android,12
Baja California,Chrome Mobile 100,Android,21
Baja California,Chrome Mobile 101,Android,74
Baja California,Chrome Mobile 101,Apple iPhone,1
Baja California,Chrome Mobile 102,Android,598
Baja California,Chrome Mobile 102,Apple iPhone,25
Baja California,Chrome Mobile 38,Android,1
Baja California,Chrome Mobile 52,Android,1
Baja California,Chrome Mobile 55,Android,2
Baja California,Chrome Mobile 68,Android,1
Baja California,Chrome Mobile 73,Apple iPad,1
Baja California,Chrome Mobile 79,Android,4
Baja California,Chrome Mobile 80,Android,3
Baja California,Chrome Mobile 81,Android,4
Baja California,Chrome Mobile 86,Android,1
Baja California,Chrome Mobile 87,Android,8
Baja California,Chrome Mobile 89,Android,1
Baja California,Chrome Mobile 90,Android,4
Baja California,Chrome Mobile 91,Android,1
Baja California,Chrome Mobile 92,Android,4
Baja California,Chrome Mobile 92,Apple iPhone,2
Baja California,Chrome Mobile 93,Android,2
Baja California,Chrome Mobile 93,Apple iPhone,1
Baja California,Chrome Mobile 94,Android,2
Baja California,Chrome Mobile 95,Android,3
Baja California,Chrome Mobile 96,Android,7
Baja California,Chrome Mobile 97,Android,3
Baja California,Chrome Mobile 98,Android,4
Baja California,Chrome Mobile 99,Android,14
Baja California,Chrome WebView 101,Android,4
Baja California,Chrome WebView 102,Android,5
Baja California,Chrome WebView 62,Android,1
Baja California,Chrome WebView 83,Android,1
Baja California,Chrome WebView 88,Android,1
Baja California,Chrome WebView 95,Android,1
Baja California,Chrome WebView 98,Android,1
Baja California,Edge 101,Windows,1
Baja California,Edge 102,Windows,6
Baja California,Facebook 336,Android,1
Baja California,Facebook 350,Android,1
Baja California,Facebook 362,Android,4
Baja California,Facebook 363,Apple iPhone,1
Baja California,Facebook 365,Android,1
Baja California,Facebook 366,Android,1
Baja California,Facebook 369,Android,6
Baja California,Firefox 101,Windows,1
Baja California,Firefox 48,KAIOS,1
Baja California,Firefox 99,Windows,1
Baja California,GSA 132,Apple iPhone,1
Baja California,GSA 171,Apple iPhone,1
Baja California,GSA 177,Apple iPhone,1
Baja California,GSA 203,Apple iPhone,1
Baja California,GSA 210,Apple iPhone,2
Baja California,GSA 211,Apple iPad,1
Baja California,GSA 213,Apple iPhone,28
Baja California,GSA 214,Apple iPhone,1
Baja California,GSA 215,Apple iPhone,2
Baja California,Mobile Safari 12,Apple iPhone,2
Baja California,Mobile Safari 13,Apple iPhone,2
Baja California,Mobile Safari 14,Apple iPhone,12
Baja California,Mobile Safari 15,Apple iPhone,59
Baja California,Opera 63,Windows,1
Baja California,Opera 66,Android,1
Baja California,Opera 86,Windows,1
Baja California,Opera 87,Windows,2
Baja California,Safari,Linux,1
Baja California,Samsung Browser 11,Android,1
Baja California,Samsung Browser 13,Android,1
Baja California,Samsung Browser 16,Android,3
Baja California,Samsung Browser 17,Android,16
Baja California,Silk 100,Android,2
Baja California,WebKit 605,Apple iPad,1
Baja California,WebKit 605,Apple iPhone,1
Baja California Sur,Chrome 101,Windows,2
Baja California Sur,Chrome 102,Linux,1
Baja California Sur,Chrome 102,Windows,15
Baja California Sur,Chrome 92,Android,1
Baja California Sur,Chrome Mobile 100,Android,1
Baja California Sur,Chrome Mobile 101,Android,8
Baja California Sur,Chrome Mobile 102,Android,102
Baja California Sur,Chrome Mobile 102,Apple iPhone,2
Baja California Sur,Chrome Mobile 79,Android,1
Baja California Sur,Chrome Mobile 81,Android,1
